date,gross_return,turnover,cost,net_return,weight_Mkt-RF,weight_SMB,weight_HML,weight_RMW,weight_CMA,weight_Mom
1979-07-31,0.0025143586598198753,0.0011030433626268467,1.1030433626268468e-06,0.0025132556164572484,0.05770899723065581,0.08441702559074415,0.11184781533107487,0.4,0.27821898082674595,0.06780718102077916
1979-08-31,0.004721791502573715,0.0008086022887024633,8.086022887024633e-07,0.004720982900285013,0.05769331196860268,0.08415544719837494,0.11147538238684486,0.4,0.27902758311544845,0.06764827533072909
1979-09-30,0.006492898031546544,0.005485149854679582,5.485149854679582e-06,0.006487412881691864,0.05632163375292914,0.0826796763819404,0.11107960616304631,0.4,0.284512732970128,0.06540635073195612
1979-10-31,-0.003911363752659856,0.0006545073248517899,6.545073248517899e-07,-0.003912018259984707,0.056123779330115205,0.08311548824217312,0.11096198678381927,0.4,0.28473142843474714,0.06506731720914534
1979-11-30,0.0012716555783563507,0.0033470558644638146,3.3470558644638146e-06,0.0012683085224918869,0.054316453377650044,0.08157575833017443,0.11107801574097245,0.4,0.28687574341655153,0.06615402913465154
1979-12-31,-0.0003311789668900794,0.0007444109017924749,7.44410901792475e-07,-0.00033192337779187187,0.05442723320422246,0.08216951742206385,0.11081784171725316,0.4,0.28639150653847834,0.06619390111798217
1980-01-31,0.00956340473329994,0.0006850261614138424,6.850261614138424e-07,0.009562719707138526,0.054389031180919076,0.08259196928193356,0.11031552812434252,0.4,0.2866540808400224,0.0660493905727823
1980-02-29,0.008359008446816108,0.004066599231437387,4.066599231437387e-06,0.00835494184758467,0.05362771326261351,0.08263450737662396,0.10938217528590631,0.4,0.2906781419767695,0.06367746209808678
1980-03-31,-0.015537191721128305,0.002130716766800076,2.1307167668000762e-06,-0.015539322437895105,0.054069448810512344,0.0828792796469406,0.11082638423449089,0.4,0.2900625995718056,0.06216228773625059
1980-04-30,-0.003971788433804248,0.013564333721195625,1.3564333721195627e-05,-0.0039853527675254435,0.0506809885003652,0.07916883344727285,0.11213695758888617,0.4,0.3023163599386059,0.055696860524869836
1980-05-31,0.00370460798586327,0.008799924686029695,8.799924686029695e-06,0.00369580806117724,0.0498316513508865,0.07592039393689624,0.11090009911778101,0.4,0.31111628462463564,0.05223157096980066
1980-06-30,-0.00081331135151948,0.0021256165177761625,2.1256165177761627e-06,-0.0008154369680372562,0.04966188563136012,0.07584705135633169,0.10950057406992209,0.4,0.31324190114241174,0.051748587799974294
1980-07-31,0.007963377080159378,0.0022815211326714935,2.2815211326714935e-06,0.007961095559026707,0.04937228046514426,0.07548301685673826,0.10787269260305994,0.4,0.31497981292176014,0.05229219715329746
1980-08-31,0.008869033136910443,0.001517933570194592,1.5179335701945922e-06,0.008867515203340249,0.049543865285562816,0.07462993814776568,0.10736143073960727,0.4,0.31632616167153615,0.052138604155528095
1980-09-30,-0.0020430041609932666,0.0012052422343576848,1.2052422343576849e-06,-0.0020442094032276244,0.04980604351848102,0.07342469591340793,0.10813393499633314,0.4,0.31638426867936126,0.052251056892416534
1980-10-31,0.0051228771572688955,0.014155446680353664,1.4155446680353666e-05,0.005108721710588542,0.047804857214420717,0.06466863397749328,0.10473573655595451,0.4,0.32836092463961675,0.05442984761251479
1980-11-30,0.0015503789082247314,0.004522577517949919,4.522577517949919e-06,0.0015458563307067814,0.04726812812031405,0.06246740324079079,0.10295111886881378,0.4,0.3304949881725114,0.056818361597570095
1980-12-31,-0.004162614719015308,0.00355230568092426,3.5523056809242605e-06,-0.004166167024696232,0.04884713736027683,0.06286103316894893,0.10446853915058549,0.4,0.3269426824915871,0.05688060782860169
1981-01-31,0.002905259136082805,0.002126847352731581,2.1268473527315814e-06,0.0029031322887300734,0.048934175529586184,0.06301115665114691,0.10511255862325619,0.4,0.32818834872014063,0.054753760475870106
1981-02-28,0.007872893776528174,0.0029368127316272592,2.9368127316272593e-06,0.007869956963796547,0.04869226117111026,0.06403456513956812,0.10477504324257973,0.4,0.3258309657276658,0.056667164719076187
1981-03-31,-0.006167569144600692,0.0015727511510564528,1.5727511510564528e-06,-0.006169141895751748,0.048632714030801605,0.06445056177339394,0.10547595970565998,0.4,0.324317761716918,0.05712300277322659
1981-04-30,0.012007950494237224,0.0012586168319046326,1.2586168319046327e-06,0.01200669187740532,0.0485181317815492,0.0636431363006601,0.10636123645570611,0.4,0.3246911017987764,0.05678639366330811
1981-05-31,-0.0007696359166049402,0.0014210520126476701,1.4210520126476702e-06,-0.0007710569686175879,0.04921110731744134,0.0622459364224589,0.10633738432125968,0.4,0.32478214885292356,0.05742342308591654
1981-06-30,0.004004540337128917,0.002023902132485305,2.0239021324853053e-06,0.0040025164349964315,0.0493674681976526,0.06275401410494368,0.10726221612132511,0.4,0.32275824672043824,0.05785805485564036
